student_id,assigned,hours_used,exam_score,female,field,gpa_prior
1484,1,11.3,62.1,0,STEM,2.56
1556,1,10.9,54.2,1,STEM,2.33
1692,1,8.9,63.2,1,Humanities,2.67
1475,0,0.0,50.1,0,SocialSciences,2.77
1799,0,0.0,63.1,0,SocialSciences,3.08
479,1,0.0,54.4,1,Humanities,2.82
282,0,0.0,65.9,0,STEM,3.01
1648,1,5.8,71.6,1,SocialSciences,2.21
1557,0,0.0,72.6,0,STEM,3.31
1730,0,0.0,40.1,0,Humanities,2.1
211,1,19.0,88.0,1,STEM,2.5
298,0,0.0,71.0,1,SocialSciences,3.09
1885,0,0.0,45.5,0,SocialSciences,2.32
1834,0,0.0,63.4,1,Humanities,2.84
652,1,11.7,69.4,1,Humanities,2.99
1234,0,0.0,65.8,1,STEM,2.74
1503,0,0.0,55.1,1,STEM,2.23
1932,0,0.0,59.8,1,STEM,3.2
917,0,0.0,54.0,0,SocialSciences,2.55
994,1,7.6,73.6,0,STEM,3.45
430,1,6.2,70.8,0,STEM,2.6
1371,1,7.0,76.6,0,Humanities,3.09
240,1,0.0,61.8,1,STEM,2.47
880,0,0.0,59.9,0,STEM,2.79
621,0,0.0,65.0,1,STEM,1.89
257,0,0.0,36.5,0,SocialSciences,2.76
612,1,13.1,58.3,0,SocialSciences,2.28
545,1,18.2,69.8,0,STEM,2.53
772,0,0.0,44.2,1,SocialSciences,2.09
1420,1,13.0,78.5,1,Humanities,2.6
1042,1,0.0,47.2,1,Humanities,1.58
1790,1,6.9,76.4,1,SocialSciences,2.4
760,0,0.0,52.3,1,Humanities,2.54
383,0,0.0,43.0,1,Humanities,2.71
1104,0,0.0,61.2,1,Humanities,2.03
974,0,0.0,43.8,1,SocialSciences,2.96
353,1,0.0,50.2,0,STEM,2.05
1606,1,3.6,44.9,0,STEM,2.41
1826,1,10.4,69.6,1,STEM,2.23
1037,0,0.0,58.9,1,SocialSciences,2.55
1108,1,11.3,85.2,1,STEM,2.41
495,0,0.0,62.5,0,STEM,2.95
394,1,8.2,82.0,1,STEM,2.32
1547,0,0.0,60.1,1,Humanities,2.38
465,0,0.0,47.4,0,SocialSciences,1.99
887,0,0.0,61.1,0,SocialSciences,2.38
1194,1,0.0,49.9,0,SocialSciences,2.51
367,1,0.0,58.4,0,Humanities,2.87
1894,0,0.0,65.8,0,SocialSciences,3.48
1874,0,0.0,67.3,0,STEM,3.05
745,0,0.0,78.1,0,STEM,3.27
530,1,11.5,83.3,1,Humanities,2.41
803,0,0.0,57.3,1,Humanities,2.48
1224,1,8.9,75.7,1,SocialSciences,2.08
1979,0,0.0,52.3,0,SocialSciences,3.33
1906,0,0.0,62.6,1,STEM,2.34
1700,1,8.5,69.8,1,STEM,1.98
1545,1,17.0,100.0,0,SocialSciences,3.88
1314,0,0.0,59.2,0,SocialSciences,2.63
307,1,0.0,55.6,1,STEM,2.39
1667,1,1.6,57.3,0,Humanities,2.83
863,0,0.0,42.4,1,Humanities,1.51
1567,0,0.0,43.0,0,Humanities,1.74
531,0,0.0,58.6,0,SocialSciences,2.94
655,0,0.0,64.3,1,SocialSciences,2.31
1260,0,0.0,52.8,0,SocialSciences,2.48
234,1,11.3,75.6,1,Humanities,2.72
121,1,10.8,100.0,1,STEM,3.05
1698,0,0.0,61.5,0,SocialSciences,2.72
950,1,0.0,56.3,1,STEM,2.11
618,1,4.6,65.7,1,SocialSciences,2.26
1179,0,0.0,83.8,1,STEM,2.7
308,1,0.0,59.4,1,SocialSciences,2.81
136,0,0.0,42.0,0,Humanities,2.63
555,1,9.4,62.6,1,SocialSciences,2.32
1674,1,10.0,83.7,1,SocialSciences,3.07
584,0,0.0,66.2,0,STEM,2.85
1641,1,0.0,74.0,0,STEM,2.96
671,1,2.0,40.1,1,SocialSciences,1.35
835,1,4.2,40.8,1,SocialSciences,1.81
110,1,14.0,73.5,0,STEM,3.37
1165,0,0.0,55.9,1,SocialSciences,2.91
1960,0,0.0,39.3,1,SocialSciences,1.84
1465,0,0.0,51.7,1,SocialSciences,2.81
1729,1,0.0,56.8,0,STEM,1.96
1243,0,0.0,55.5,0,STEM,2.68
212,1,0.0,70.0,1,STEM,2.58
1768,0,0.0,43.3,1,SocialSciences,2.39
1121,0,0.0,42.9,0,SocialSciences,2.08
680,1,0.0,70.8,1,STEM,2.72
1951,1,13.3,85.9,1,SocialSciences,2.56
1839,1,10.8,81.1,0,STEM,2.3
412,1,12.5,74.9,1,Humanities,2.67
1325,1,12.1,67.3,0,SocialSciences,2.3
783,1,16.5,94.9,1,SocialSciences,2.85
1346,0,0.0,49.2,0,SocialSciences,1.98
875,0,0.0,36.1,0,STEM,1.25
1653,0,0.0,46.9,0,STEM,1.94
1279,1,18.4,93.6,0,STEM,3.3
786,0,0.0,44.0,0,STEM,1.95
1819,0,0.0,67.5,0,STEM,3.44
1199,1,14.9,76.2,0,SocialSciences,2.6
808,0,0.0,64.6,1,Humanities,3.13
713,1,17.4,75.4,1,Humanities,2.21
1991,1,12.3,90.9,1,SocialSciences,3.06
1660,0,0.0,54.8,0,Humanities,2.96
1191,1,7.1,55.5,0,STEM,2.53
1226,0,0.0,62.3,1,STEM,2.52
603,1,11.8,81.1,0,STEM,2.64
271,1,17.1,99.9,1,SocialSciences,2.9
1385,1,8.8,78.4,1,Humanities,2.28
232,0,0.0,50.9,0,SocialSciences,2.64
50,0,0.0,50.9,0,Humanities,1.71
463,1,11.5,69.1,1,STEM,2.26
1106,1,6.5,68.1,1,STEM,2.33
856,1,10.6,67.5,0,SocialSciences,2.85
694,1,8.3,63.2,0,STEM,2.34
1552,0,0.0,61.5,1,SocialSciences,2.15
1873,0,0.0,56.3,0,STEM,2.47
527,1,11.7,97.8,1,STEM,3.21
174,1,8.8,62.2,0,STEM,3.18
721,1,0.0,60.3,0,Humanities,1.79
415,0,0.0,75.3,1,SocialSciences,2.99
238,0,0.0,63.1,0,SocialSciences,2.83
1473,0,0.0,84.5,0,STEM,3.44
1336,0,0.0,47.4,0,SocialSciences,2.62
1064,0,0.0,51.7,0,STEM,1.73
24,0,0.0,47.7,1,SocialSciences,2.38
1767,1,0.0,71.1,0,STEM,1.62
64,1,6.9,50.9,0,STEM,2.03
290,1,11.3,53.6,0,STEM,2.11
189,0,0.0,66.5,1,STEM,2.86
702,0,0.0,72.7,1,STEM,2.59
1815,0,0.0,63.7,0,STEM,2.27
1138,1,0.0,43.5,0,SocialSciences,1.55
355,1,0.0,76.5,1,SocialSciences,2.8
417,1,5.3,43.8,0,SocialSciences,2.74
1246,0,0.0,67.6,1,SocialSciences,2.64
931,0,0.0,64.4,1,STEM,1.73
197,1,0.0,62.1,0,SocialSciences,3.69
580,0,0.0,43.6,0,STEM,2.46
1135,0,0.0,96.5,1,STEM,3.31
1814,1,11.4,68.6,0,STEM,2.43
1935,0,0.0,67.6,0,SocialSciences,2.57
434,0,0.0,79.7,0,STEM,3.35
101,0,0.0,34.2,1,Humanities,1.0
1655,0,0.0,50.0,1,Humanities,2.41
395,1,13.1,95.1,1,STEM,3.08
1939,0,0.0,52.9,1,SocialSciences,2.29
221,1,12.9,79.4,0,STEM,2.22
1676,0,0.0,59.8,0,SocialSciences,3.15
1498,0,0.0,84.3,1,STEM,3.44
1785,1,0.0,37.7,1,STEM,2.0
345,1,14.6,99.9,1,Humanities,3.08
1028,0,0.0,71.6,0,Humanities,3.0
889,1,11.9,94.7,1,STEM,2.84
1351,0,0.0,68.3,1,SocialSciences,3.1
553,1,9.7,86.1,1,Humanities,3.07
744,1,0.0,55.3,1,STEM,2.89
1542,1,10.6,74.8,1,SocialSciences,3.47
539,1,11.7,81.3,1,Humanities,3.11
907,0,0.0,63.3,1,SocialSciences,3.23
1395,1,13.6,83.8,1,STEM,2.71
116,1,7.7,76.1,0,SocialSciences,2.74
830,1,11.9,70.9,1,STEM,2.66
1938,0,0.0,70.6,1,STEM,3.28
809,1,0.0,37.4,1,STEM,1.75
1311,1,3.9,58.4,1,SocialSciences,2.07
1005,0,0.0,52.9,1,STEM,3.27
306,1,9.3,53.2,1,STEM,2.43
1101,1,10.8,68.4,0,SocialSciences,2.21
480,0,0.0,58.4,0,STEM,2.7
1424,0,0.0,48.3,1,Humanities,2.61
1076,0,0.0,73.4,1,STEM,3.38
571,0,0.0,48.8,1,Humanities,2.36
619,1,0.0,45.0,0,SocialSciences,3.19
1898,0,0.0,67.1,0,Humanities,2.13
1266,0,0.0,58.8,0,SocialSciences,2.95
79,1,0.0,54.1,1,Humanities,2.72
1912,1,5.7,56.1,1,SocialSciences,1.94
33,0,0.0,34.1,1,Humanities,2.04
1538,1,4.7,80.3,0,SocialSciences,2.72
1034,0,0.0,60.7,1,STEM,2.16
1563,1,0.0,61.3,1,STEM,1.86
352,1,12.7,70.7,0,SocialSciences,2.64
164,0,0.0,74.1,1,STEM,2.53
204,0,0.0,64.5,0,Humanities,2.01
1054,0,0.0,51.5,1,SocialSciences,2.9
1365,1,4.7,75.3,0,Humanities,2.33
1967,1,11.3,79.7,0,Humanities,3.53
496,1,12.9,100.0,1,SocialSciences,2.91
1625,0,0.0,66.7,0,STEM,2.69
1966,0,0.0,48.3,0,SocialSciences,2.31
1963,1,11.8,89.2,1,SocialSciences,2.55
611,1,12.3,71.2,0,STEM,2.44
433,0,0.0,49.0,0,Humanities,3.08
1492,1,15.3,85.8,0,STEM,2.88
219,0,0.0,43.5,0,SocialSciences,2.3
1931,1,13.2,74.8,1,SocialSciences,1.85
1466,1,0.0,60.3,1,SocialSciences,2.09
631,0,0.0,47.7,0,STEM,2.4
1382,0,0.0,38.2,1,Humanities,2.1
1302,1,9.4,57.7,1,SocialSciences,2.56
60,0,0.0,57.9,1,Humanities,2.85
299,1,11.3,87.4,1,STEM,2.75
1711,1,6.0,60.6,1,STEM,1.97
74,0,0.0,66.8,0,SocialSciences,3.24
163,1,4.1,70.9,0,Humanities,2.92
1275,1,7.4,61.5,1,STEM,1.9
1594,0,0.0,60.9,1,STEM,2.52
1434,0,0.0,62.3,0,STEM,2.57
1613,1,0.0,38.9,0,STEM,2.65
592,0,0.0,41.1,0,SocialSciences,2.46
317,0,0.0,40.6,1,SocialSciences,1.53
46,0,0.0,44.5,0,SocialSciences,2.17
1720,1,12.5,66.4,1,SocialSciences,2.62
1832,0,0.0,60.4,0,Humanities,2.83
428,0,0.0,65.0,0,SocialSciences,3.06
582,0,0.0,50.5,0,Humanities,1.64
77,1,19.2,80.4,0,STEM,2.97
1917,0,0.0,48.4,1,Humanities,2.52
1415,0,0.0,53.5,1,SocialSciences,2.33
781,0,0.0,45.2,1,SocialSciences,2.07
1920,0,0.0,37.1,0,Humanities,1.62
1174,1,9.0,64.4,0,STEM,2.44
1320,1,0.0,41.2,0,Humanities,2.7
938,0,0.0,47.3,1,SocialSciences,2.79
31,1,3.2,69.6,1,STEM,2.28
1092,1,6.1,45.0,1,Humanities,1.88
1616,0,0.0,50.9,0,Humanities,2.74
1230,0,0.0,66.8,1,SocialSciences,2.81
975,1,5.9,55.6,0,Humanities,2.28
1085,0,0.0,58.7,1,Humanities,2.77
515,0,0.0,38.0,0,SocialSciences,1.44
1551,1,0.0,61.8,1,Humanities,2.82
1568,0,0.0,48.0,0,SocialSciences,1.79
1811,1,0.0,56.1,0,Humanities,2.45
1574,0,0.0,44.5,1,STEM,2.46
45,1,5.1,47.3,0,Humanities,2.68
1687,1,15.3,94.1,1,STEM,2.93
169,0,0.0,59.6,1,STEM,2.92
304,1,14.1,99.7,1,STEM,2.87
991,1,9.9,84.5,1,STEM,2.73
556,1,0.0,54.6,1,Humanities,2.53
1925,0,0.0,68.5,0,SocialSciences,2.84
608,1,2.6,78.3,0,Humanities,2.66
1619,1,0.0,81.6,1,STEM,3.19
758,0,0.0,76.8,0,SocialSciences,3.02
439,1,7.1,68.2,1,STEM,1.98
583,0,0.0,71.5,1,STEM,3.34
1519,0,0.0,69.1,1,SocialSciences,2.61
528,1,0.0,60.9,0,STEM,2.47
343,0,0.0,56.5,1,STEM,2.77
1737,1,14.4,76.8,0,STEM,3.43
368,0,0.0,57.9,0,SocialSciences,3.16
186,0,0.0,38.6,0,SocialSciences,1.47
1117,1,0.0,47.8,0,Humanities,1.98
1755,0,0.0,61.8,1,STEM,2.6
1426,1,17.6,100.0,1,SocialSciences,3.28
301,0,0.0,56.1,1,SocialSciences,1.66
1904,0,0.0,69.4,0,STEM,2.54
833,1,12.2,82.9,1,SocialSciences,2.75
544,0,0.0,58.5,1,STEM,2.42
1601,0,0.0,69.0,1,Humanities,3.11
351,0,0.0,68.0,0,Humanities,2.93
1933,0,0.0,56.3,0,Humanities,2.89
1511,1,0.0,53.7,1,Humanities,2.05
979,1,7.3,66.6,0,STEM,2.8
176,0,0.0,51.3,1,Humanities,3.02
483,1,8.5,69.8,0,Humanities,2.54
1413,1,12.4,78.9,1,SocialSciences,2.24
1611,0,0.0,61.1,0,STEM,2.97
124,0,0.0,74.5,1,SocialSciences,2.98
600,0,0.0,66.3,1,STEM,2.32
1795,1,0.0,50.3,0,Humanities,2.1
1746,1,10.4,63.1,0,STEM,2.31
1379,0,0.0,69.8,1,SocialSciences,2.72
1186,0,0.0,52.9,1,Humanities,2.8
486,0,0.0,66.2,0,STEM,2.78
332,1,4.0,38.2,1,Humanities,1.78
789,0,0.0,49.5,0,SocialSciences,2.43
195,1,6.3,55.7,1,SocialSciences,1.65
638,0,0.0,52.9,1,SocialSciences,2.58
472,1,0.0,43.1,0,SocialSciences,1.67
1714,1,0.0,71.8,1,Humanities,2.69
323,1,5.3,48.4,0,SocialSciences,1.46
1197,1,8.3,87.1,0,Humanities,2.79
267,0,0.0,57.6,0,STEM,2.82
1544,0,0.0,46.2,1,SocialSciences,1.63
1804,0,0.0,73.4,0,STEM,3.5
68,0,0.0,73.0,1,SocialSciences,3.44
1738,1,10.8,58.1,1,Humanities,2.94
1593,1,7.3,51.1,1,STEM,1.66
1564,1,3.3,59.9,0,Humanities,2.19
481,0,0.0,60.1,0,STEM,2.41
1757,1,6.9,55.9,0,STEM,1.58
1913,1,16.4,94.7,1,STEM,2.67
1441,1,6.1,60.5,0,Humanities,2.57
1461,1,0.0,63.6,1,STEM,2.77
888,1,7.7,71.1,0,Humanities,2.91
423,0,0.0,53.3,1,STEM,2.74
1675,1,11.4,74.7,1,Humanities,2.43
1450,1,12.7,82.0,1,Humanities,3.41
765,0,0.0,44.0,1,SocialSciences,1.49
520,0,0.0,42.7,1,SocialSciences,2.46
1432,0,0.0,52.7,0,STEM,3.35
614,1,0.0,54.0,1,Humanities,3.06
1531,1,9.5,82.1,1,Humanities,2.62
1783,0,0.0,53.8,1,Humanities,2.62
1659,1,0.0,51.6,1,Humanities,3.0
454,0,0.0,67.4,1,STEM,2.58
731,1,8.9,66.7,0,STEM,2.32
535,1,0.0,42.9,0,Humanities,1.81
966,1,0.0,52.1,0,Humanities,3.19
1285,0,0.0,57.3,0,SocialSciences,3.65
1740,0,0.0,66.5,1,STEM,2.8
262,0,0.0,52.5,1,SocialSciences,2.77
536,0,0.0,59.3,0,Humanities,3.39
969,1,0.0,68.9,1,Humanities,3.15
241,1,0.0,60.2,1,STEM,2.63
820,1,11.0,56.5,0,STEM,2.54
693,1,8.8,70.0,0,STEM,2.53
421,1,9.6,61.8,0,Humanities,2.08
1086,1,12.7,72.0,1,STEM,2.55
1999,1,9.3,48.1,0,SocialSciences,1.75
366,1,2.6,59.3,0,SocialSciences,2.02
1023,0,0.0,63.9,0,STEM,2.87
1241,0,0.0,58.9,0,SocialSciences,3.25
589,0,0.0,76.1,1,STEM,2.63
737,1,10.2,66.4,0,STEM,2.56
1762,1,7.6,56.6,0,STEM,2.34
942,0,0.0,49.3,0,Humanities,3.1
72,1,0.0,72.5,0,STEM,2.37
1408,0,0.0,54.6,0,SocialSciences,2.29
260,1,10.6,57.7,1,STEM,2.25
52,1,17.9,100.0,1,STEM,3.19
199,1,4.0,76.0,0,SocialSciences,2.89
1789,0,0.0,56.6,1,Humanities,2.85
651,1,0.0,76.9,0,STEM,2.75
333,1,7.2,66.7,1,STEM,2.46
1360,1,4.5,44.0,1,STEM,2.07
594,1,0.0,46.3,0,STEM,2.31
1392,0,0.0,63.2,1,SocialSciences,2.72
1801,0,0.0,66.3,1,Humanities,2.9
1315,0,0.0,56.7,1,STEM,2.22
1112,0,0.0,57.7,1,SocialSciences,2.53
1007,1,8.9,69.3,1,STEM,2.26
1327,1,0.5,46.8,0,Humanities,1.57
427,1,9.9,83.7,0,SocialSciences,2.18
1559,0,0.0,34.0,1,Humanities,1.95
1294,0,0.0,67.5,0,STEM,2.31
591,0,0.0,71.0,0,STEM,2.87
1958,0,0.0,55.7,1,Humanities,1.87
1977,1,3.5,70.9,0,Humanities,3.0
1133,0,0.0,51.6,1,SocialSciences,2.38
986,1,9.2,59.9,0,STEM,2.39
399,0,0.0,63.9,1,STEM,2.86
1512,1,0.0,42.2,1,Humanities,1.78
437,1,0.0,53.2,0,STEM,2.51
193,1,8.6,70.5,0,SocialSciences,2.86
1436,1,1.8,55.0,0,STEM,2.16
615,0,0.0,63.1,1,Humanities,2.9
1494,0,0.0,64.1,1,Humanities,2.7
577,1,4.7,64.1,0,STEM,2.85
987,1,8.7,42.9,0,Humanities,2.12
1433,0,0.0,80.5,0,STEM,3.1
707,1,10.1,85.8,1,SocialSciences,2.71
1259,0,0.0,55.1,1,SocialSciences,2.36
142,1,0.0,45.4,0,STEM,1.96
1358,0,0.0,56.6,1,Humanities,2.96
3,0,0.0,40.4,1,SocialSciences,2.41
1222,1,8.7,73.1,0,STEM,3.09
1870,0,0.0,48.1,0,Humanities,2.68
1623,0,0.0,50.4,0,Humanities,2.68
340,1,6.4,45.4,0,Humanities,2.71
1770,0,0.0,76.4,0,STEM,3.05
1537,1,7.8,64.7,1,SocialSciences,2.18
484,0,0.0,54.2,0,Humanities,2.28
266,1,8.7,63.8,0,STEM,2.08
377,1,6.8,70.8,0,STEM,2.55
742,0,0.0,64.3,1,SocialSciences,2.82
1014,1,10.2,80.0,1,Humanities,3.48
440,0,0.0,38.4,0,STEM,2.82
272,1,0.0,65.2,1,STEM,2.46
185,1,4.8,45.7,1,STEM,2.11
940,1,13.3,99.3,1,SocialSciences,3.14
245,0,0.0,46.0,1,STEM,2.52
932,0,0.0,64.2,0,Humanities,2.77
446,1,4.2,79.4,0,STEM,3.32
597,1,0.0,44.2,0,SocialSciences,1.57
818,0,0.0,54.9,1,SocialSciences,2.73
1273,1,3.3,37.1,1,Humanities,1.92
1677,0,0.0,57.8,0,SocialSciences,3.18
487,0,0.0,80.3,1,STEM,3.05
681,0,0.0,57.1,0,SocialSciences,3.26
416,0,0.0,43.9,1,Humanities,1.8
274,0,0.0,57.9,1,STEM,2.44
1472,0,0.0,61.3,1,STEM,2.75
1830,1,16.4,78.8,1,STEM,1.69
1455,0,0.0,57.0,0,SocialSciences,2.72
251,1,0.0,43.6,0,SocialSciences,2.76
414,1,10.8,99.0,1,Humanities,3.26
1386,0,0.0,65.6,1,SocialSciences,3.0
1308,1,0.0,65.7,0,STEM,2.77
716,0,0.0,44.6,1,Humanities,2.47
311,0,0.0,49.5,1,STEM,2.4
927,1,14.7,93.5,1,STEM,3.1
382,0,0.0,68.8,1,Humanities,2.24
1566,0,0.0,48.1,0,STEM,2.78
426,1,4.8,38.0,0,SocialSciences,2.3
1875,0,0.0,74.1,0,SocialSciences,3.61
533,0,0.0,49.7,0,SocialSciences,3.11
753,0,0.0,57.7,0,SocialSciences,2.56
766,1,1.2,41.4,0,Humanities,2.05
1357,1,0.0,36.8,0,Humanities,2.67
409,0,0.0,47.7,0,Humanities,2.48
1615,0,0.0,68.2,0,SocialSciences,2.76
695,1,0.0,33.4,1,STEM,2.44
1739,1,13.9,93.2,1,STEM,3.46
549,0,0.0,65.8,0,STEM,1.94
937,0,0.0,74.5,0,SocialSciences,2.68
1390,1,0.0,58.6,0,STEM,1.86
1608,1,6.7,73.6,0,STEM,3.31
1940,0,0.0,66.0,1,Humanities,3.1
1482,0,0.0,62.7,1,STEM,2.52
183,0,0.0,63.4,0,STEM,2.76
1941,1,5.6,59.2,0,Humanities,1.59
1161,0,0.0,53.6,0,STEM,2.24
171,1,7.3,70.7,0,SocialSciences,2.86
293,0,0.0,67.2,1,STEM,1.89
562,0,0.0,57.4,1,Humanities,1.99
1457,1,2.5,48.4,1,SocialSciences,2.42
1877,1,8.1,84.2,0,SocialSciences,2.49
1652,1,5.9,61.1,0,Humanities,2.72
850,0,0.0,72.8,0,SocialSciences,3.39
273,1,3.8,62.8,0,STEM,2.36
1550,1,4.8,61.8,0,STEM,2.4
1035,0,0.0,57.4,0,Humanities,2.09
1744,1,14.9,93.8,1,STEM,2.81
372,0,0.0,49.7,1,STEM,1.79
1670,0,0.0,59.0,0,Humanities,2.71
722,0,0.0,54.6,1,STEM,1.58
734,0,0.0,59.4,1,STEM,2.68
778,1,15.9,100.0,1,STEM,2.27
519,1,8.9,74.6,1,STEM,2.65
335,0,0.0,63.8,0,STEM,3.27
846,1,0.0,51.2,0,STEM,1.68
1252,1,0.0,51.1,1,Humanities,2.03
1053,1,12.4,80.7,1,SocialSciences,2.61
1924,1,6.9,85.1,0,STEM,3.27
16,0,0.0,68.7,0,SocialSciences,3.23
708,0,0.0,61.0,0,SocialSciences,2.93
901,1,0.0,42.9,0,SocialSciences,1.42
1980,0,0.0,52.9,0,SocialSciences,2.57
1573,1,0.0,58.0,0,Humanities,2.62
904,1,0.0,43.0,0,STEM,2.38
466,1,4.0,63.2,0,STEM,2.57
1978,1,0.0,57.0,0,SocialSciences,1.95
200,0,0.0,40.7,0,STEM,2.59
1207,1,12.0,74.4,0,SocialSciences,2.91
1056,0,0.0,51.5,1,Humanities,2.61
1132,1,16.2,83.9,1,SocialSciences,2.94
1380,1,13.4,75.4,0,STEM,3.33
999,1,0.0,65.7,1,SocialSciences,2.94
728,1,12.7,100.0,1,Humanities,2.89
1772,0,0.0,40.6,1,Humanities,1.47
1910,0,0.0,70.0,0,SocialSciences,2.44
1822,1,8.0,50.8,0,STEM,2.83
568,0,0.0,44.8,1,Humanities,1.86
44,1,12.2,72.5,0,STEM,3.32
275,0,0.0,58.5,0,Humanities,3.23
1097,1,14.6,85.2,1,SocialSciences,2.21
102,1,10.3,71.4,0,STEM,2.61
1232,1,7.5,82.4,1,STEM,2.35
1722,1,10.4,73.0,1,SocialSciences,2.21
1833,0,0.0,47.9,0,STEM,1.96
108,0,0.0,43.4,1,Humanities,2.34
1618,1,18.7,100.0,1,STEM,2.78
498,1,2.8,60.1,0,STEM,2.23
1981,0,0.0,49.7,1,Humanities,2.18
882,1,0.0,44.9,0,STEM,2.99
757,0,0.0,73.0,1,SocialSciences,2.99
620,0,0.0,53.6,1,SocialSciences,2.43
1107,0,0.0,56.8,0,SocialSciences,2.69
1936,1,16.3,86.9,0,Humanities,3.45
810,0,0.0,41.5,1,Humanities,2.03
1038,0,0.0,66.3,1,SocialSciences,2.64
73,0,0.0,52.6,0,SocialSciences,3.01
1284,0,0.0,61.1,1,STEM,3.28
1272,1,9.2,48.2,0,Humanities,2.12
1335,1,0.0,44.2,1,SocialSciences,1.88
1459,1,0.0,55.5,1,STEM,2.15
482,0,0.0,77.3,1,STEM,3.29
1069,0,0.0,64.3,1,SocialSciences,2.54
507,0,0.0,57.2,0,STEM,2.62
1238,1,8.0,81.3,1,Humanities,2.93
1862,0,0.0,42.9,1,STEM,1.33
1990,1,0.0,27.0,0,STEM,1.07
1477,1,3.7,65.4,1,SocialSciences,1.86
1867,0,0.0,75.2,1,STEM,2.04
1456,0,0.0,43.5,1,Humanities,2.43
312,0,0.0,66.1,1,SocialSciences,3.22
963,1,0.0,57.1,1,SocialSciences,2.52
406,0,0.0,75.3,0,STEM,2.35
